문제 내용,선택지1,선택지2,선택지3(선택),선택지4(선택),정답번호,문제시간(초)
0 + ? = 10,0,9,10,8,3,18
1 + ? = 10,1,9,10,8,2,18
2 + ? = 10,8,2,9,7,1,18
3 + ? = 10,3,8,6,7,4,18
4 + ? = 10,4,7,6,5,3,18
5 + ? = 10,6,5,4,10,2,18
6 + ? = 10,4,6,5,3,1,18
7 + ? = 10,7,4,2,3,4,18
8 + ? = 10,8,3,2,1,3,18
9 + ? = 10,9,1,2,0,2,18
10 + ? = 10,10,1,2,0,4,18
? + 1 = 10,9,1,7,10,1,18
? + 2 = 10,2,8,10,6,2,18
? + 3 = 10,3,9,7,5,3,18
? + 4 = 10,4,8,10,6,4,18
? + 5 = 10,5,7,3,10,1,18
? + 6 = 10,6,4,2,10,2,18
? + 7 = 10,7,5,3,1,3,18
? + 8 = 10,8,4,0,2,4,18
? + 9 = 10,1,9,3,10,1,18
